identifier_file,local_note,title,title_other,title_part,abstract,date_text,collection,collection_identifier,shelf_locator,extent,genre,form,language,name,name_role,name 2,name_role 2,publisher,place_of_origin,series_title,subject_geographic,subject_name,subject_name 2,subject_topical,subject_topical 2,project_title,repository,rights,public_note,public_note 2,note_provenance
0012_000416_000001,,SHOULD EVOLUTION BE TAUGHT IN THE PUBLIC SCHOOLS,,,"Sermon by Sue K. Hicks elder brother, Ira",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 sermon (7 pages),,sermons,eng,"Hicks, Ira Evans",Creator,,,,"Toms River, NJ",,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",Public domain.,,,
0012_000416_000002,No name authority record exists for Sue K. Hicks.,Draft of legal argument on the teaching of evolution,,,"Untitled and unfinished draft, presumably by Sue K. Hicks, on origin of Scopes trial, religion",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,, ,, ,"Scopes, John Thomas--Trials, litigation, etc.",Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000003,,Outline of legal arguments,,,,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,, ,, ,"Scopes, John Thomas--Trials, litigation, etc.",Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,"I Introduction(1.) Preliminary remarks(a) congratula[tions?].2. Purpose of jury.3. [stricken: caus?] Large [Throng?](a) cause(4) Personal view of evolution4. attitude toward [scopes?]
II The anti-evolution law1. attitude toward[stricken: 2] (2) [stricken: Held] [illegible] of.2. Good or Bad,(a) not in province of jury.3 Purpose of4.) Legislat[ure?](5) Definition of Ev. (Noah Webster)
II. Evolution should not be taught because the people of Tennessee do not want it taught1. Right of people [to?] control.2. [Cherish?] Literature [&?] science(a) Meaning of.3. Leeper [vs?]. State.4. Sovereign [stricken: illegible] [illegible]
III. Evolution should not be taught because it undermines Christianity.1. U. S. a Christian Nation2. Pagan philosophy.(a) History3. Theological question(a) Theologians differ(b) Religion or irreligion not to be taught.
IV. Evolution should not be taught in the school, because,I it violates our [stricken: Con] state Constitution.1. Sec 3, art. I.2 [stricken: The] Many [stricken: of] students under age of consent, and parents object.3. Scopes asking to impose religious beliefs upon others.
",
0012_000416_000004,,Draft presenting legal and religious arguments against teaching religion,,,"Draft of legal argument, presumably authored by Sue K. Hicks, possibly for publication or oral argument",[1925],Sue K. Hicks Papers,MPA.0136,"box 5, Folder 1",1 manuscript (9 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,"Draft starts on page (2), goes on to page (3), then an unnumbered page, then 2-6. They may be pages from more than one document.",,
0012_000416_000005,,Argument for an intelligent creator,,,"Untitled, probably copied, argument for creationism",unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (1 page),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Creationism,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000006,No name authority record for Leroy Boyd,Quotes on science,,,Quotes on science collected and shared by Leroy S. Boyd,unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (1 page),,manuscripts (document genre),eng,"Boyd, Leroy S.",Contributor,,,,,,,,,Science,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000007,,IV. EVOLUTION SHOULD NOT BE TAUGHT IN THE PUBLIC SCHOOLS BECAUSE IT IS ONLY AN UNPROVEN THEORY AND NOT A FACT.,,,"Incomplete draft outline. Includes argument to jury about university professors who do not believe in ""a personal God""",[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (2 pages),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000008,,If one should insult the American flag...,,,Handwritten draft of argument ,[1925],Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (1 page),,manuscripts (document genre),eng,"Hicks, Sue K.",Attributed name,,,,,,, ,,"Scopes, John Thomas--Trials, litigation, etc.",,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,"If [stricken: a man] one should [stricken: s?]insult the American flagif one should tear down or mutilate the flag of our country, you would strike that man, he would be placed in prison, But, gentlemen of the jury, even one [illegible, 2 words] [May?] place the [illegible] Church pennant [illegible] the stars [&] Stripes. Are you going to permit them to drag that pennant from it hon[ored?] place, spit upon it, and drag it through the [dust and dirt?] of agnosticism [&] communism.",
0012_000416_000009,,EVOLUTION,,,"Definitions of evolution, probably copied or summarized from reference texts",unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (1 page),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",The copyright interests in this item remain with the creator. For more information contact Special Collections at special@utk.edu.,,,
0012_000416_000010,,"The Bible says: ""What is man...",,,Unattributed quotes on science and religion,unknown,Sue K. Hicks Papers,MPA.0136,"Box 5, Folder 1",1 manuscript (1 page),,manuscripts (document genre),eng,unknown,Creator,,,,,,,,,Bible and evolution,,Sue K. Hicks' Papers on the Scopes Trial,"University of Tennessee, Knoxville.  Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,,,
